index,from_bus,to_bus,ckt,is_transformer,tr_ratio,x_pu,b_pu,s_max_pu,status
0,0,335,1,0,0,0.07644,13.08215594,2.19,1
1,1,40,1,0,0,0.08674,11.52870648,2.84,1
2,2,1704,1,0,0,0.049563,20.17634122,7.94,1
3,3,1641,1,0,0,0.00877,114.0250855,4.76,1
4,4,1482,1,0,0,0.18851,5.304758368,2.19,1
5,5,337,1,0,0,0.05655,17.68346596,6.5,1
6,6,1733,1,0,0,0.105,9.523809524,4.91,1
7,6,1733,2,0,0,0.105,9.523809524,4.91,1
8,7,1295,1,0,0,0.02969,33.6813742,2.38,1
9,8,50,1,0,0,0.012043,83.03578842,10.46,1
10,8,63,1,0,0,0.042637,23.45380773,10.97,1
11,8,63,2,0,0,0.042637,23.45380773,10.97,1
12,9,1521,1,0,0,0.019974,50.06508461,10.97,1
13,9,1521,2,0,0,0.019974,50.06508461,10.97,1
14,10,11,1,0,0,4.18E-06,239234.4498,7.36,1
15,10,17,1,0,0,0.0020348,491.448791,18.77,1
16,11,1341,1,0,0,0.002458,406.8348251,13,1
17,12,34,1,0,0,0.0033137,301.7774693,7.36,1
18,12,676,1,0,0,0.031506,31.73998603,15.36,1
19,12,1047,1,0,0,0.00040071,2495.570363,10.97,1
20,13,1099,1,0,0,0.000297,3367.003367,9.31,1
21,14,16,1,0,0,4.10E-05,24409.29506,14.19,1
22,14,1051,1,0,0,0.0038714,258.3044893,7.36,1
23,15,1045,1,0,0,0.11122,8.991188635,4.31,1
24,15,1734,1,0,0,0.022368,44.70672389,7.66,1
25,16,34,1,0,0,0.0018236,548.3658697,8.68,1
26,16,325,1,0,0,0.037525,26.64890073,18.77,1
27,16,988,1,0,0,0.016746,59.71575302,15.36,1
28,16,1047,1,0,0,0.0045397,220.2788731,7.36,1
29,17,18,1,0,0,0.017729,56.40476056,7.36,1
30,17,55,1,0,0,0.016653,60.04924038,7.36,1
31,17,806,1,0,0,0.021105,47.38213693,7.36,1
32,17,1341,1,0,0,0.0031552,316.9371197,10.46,1
33,17,1351,1,0,0,0.0036736,272.2125436,14.19,1
34,17,1567,1,0,0,0.010192,98.11616954,16.46,1
35,18,20,1,0,0,0.045179,22.13417738,7.36,1
36,18,24,1,0,0,0.033143,30.17228374,7.36,1
37,19,658,1,0,0,0.07957,12.56755058,2.4,1
38,19,667,1,0,0,0.02106,47.48338082,2.4,1
39,19,669,1,0,0,0.02636,37.93626707,2.3,1
40,19,671,1,0,0,0.0502,19.92031873,2.38,1
41,19,1527,1,0,0,0.03729,26.81684098,2.61,1
42,19,1749,1,0,0,0.08924,11.20573734,2.4,1
43,20,1399,1,0,0,0.011315,88.37825895,7.92,1
44,21,1432,1,0,0,0.005532,180.7664497,11.9,1
45,22,1336,1,0,0,0.00069972,1429.143086,10.97,1
46,22,1336,2,0,0,0.00069972,1429.143086,10.97,1
47,23,743,1,0,0,0.00093575,1068.661501,7.32,1
48,24,1521,1,0,0,0.035762,27.96264191,10.97,1
49,24,1521,2,0,0,0.035762,27.96264191,10.97,1
50,25,55,1,0,0,0.032187,31.06844378,13.06,1
51,25,1399,1,0,0,0.025867,38.65929563,13,1
52,26,1479,1,0,0,0.01386,72.15007215,2.05,1
53,26,1480,1,0,0,0.00302,331.1258278,2.05,1
54,26,1481,1,0,0,0.00678,147.4926254,2.84,1
55,27,466,1,0,0,0.0165,60.60606061,2.05,1
56,27,590,1,0,0,0.00414,241.5458937,5.67,1
57,27,770,1,0,0,0.00547,182.8153565,2.4,1
58,27,772,1,0,0,0.00381,262.4671916,2.4,1
59,27,779,1,0,0,0.00059,1694.915254,2.4,1
60,27,783,1,0,0,0.0008,1250,2.5,1
61,28,36,1,0,0,0.00026859,3723.146804,8.11,1
62,28,139,1,0,0,0.00087866,1138.096647,9.7,1
63,28,820,1,0,0,0.0014712,679.7172376,7.36,1
64,28,894,1,0,0,0.0027174,367.9988224,7.36,1
65,29,54,1,0,0,0.0031785,314.6138115,7.92,1
66,29,1432,1,0,0,0.0030834,324.3173121,8.68,1
67,30,76,1,0,0,4.67E-06,214132.7623,7.36,1
68,31,565,1,0,0,0.0019545,511.6398056,9.7,1
69,31,806,1,0,0,0.0011475,871.459695,10.46,1
70,31,820,1,0,0,0.00065719,1521.62997,7.36,1
71,32,1099,1,0,0,0.0011218,891.4244963,6.35,1
72,32,1254,1,0,0,0.0063852,156.6121656,4.91,1
73,32,1254,2,0,0,0.0063852,156.6121656,4.91,1
74,32,1722,1,0,0,0.00060289,1658.677371,7.31,1
75,33,36,1,0,0,0.00011476,8713.837574,7.36,1
76,34,1051,1,0,0,0.0018283,546.9561888,7.36,1
77,35,322,1,0,0,0.15143,6.603711286,2.4,1
78,35,345,1,0,0,0.09244,10.81782778,2.19,1
79,35,1405,1,0,0,0.04684,21.34927412,2.4,1
80,35,1499,1,0,0,0.03969,25.19526329,2.05,1
81,35,1500,1,0,0,0.02422,41.28819158,2.4,1
82,36,806,1,0,0,0.0029511,338.8566975,10.46,1
83,37,646,1,0,0,0.00414,241.5458937,2.4,1
84,37,647,1,0,0,0.00015,6666.666667,2.4,1
85,37,648,1,0,0,0.00252,396.8253968,2.4,1
86,38,1670,1,0,0,0.04332,23.08402585,2.4,1
87,39,461,1,0,0,0.00176,568.1818182,2.4,1
88,39,463,1,0,0,0.00207,483.0917874,2.4,1
89,39,500,1,0,0,0.00069,1449.275362,2.19,1
90,39,769,1,0,0,0.00207,483.0917874,2.4,1
91,40,70,1,0,0,0.00011,9090.909091,2.5,1
92,40,693,1,0,0,0.00971,102.9866117,2.4,1
93,40,694,1,0,0,0.01551,64.47453256,2.4,1
94,40,695,1,0,0,0.00598,167.2240803,2.3,1
95,40,749,1,0,0,0.00272,367.6470588,2.4,1
96,41,1406,1,0,0,0.07544,13.25556734,2.4,1
97,41,1412,1,0,0,0.03147,31.77629488,2.4,1
98,41,1671,1,0,0,0.02927,34.16467373,2.4,1
99,42,415,1,0,0,0.02463,40.60089322,2.4,1
100,43,1463,1,0,0,0.01239,80.7102502,3.07,1
101,43,1464,1,0,0,0.00499,200.4008016,2.4,1
102,43,1482,1,0,0,0.07023,14.23892923,2.19,1
103,43,1730,1,0,0,0.00058,1724.137931,2.84,1
104,44,45,1,0,0,0.00432,231.4814815,3.47,1
105,44,1729,1,0,0,0.15279,6.544930951,2.38,1
106,45,331,1,0,0,0.02746,36.41660597,3.25,1
107,45,334,1,0,0,0.09747,10.25956705,2.86,1
108,45,424,1,0,0,0.20128,4.968203498,2.4,1
109,46,137,1,0,0,0.0925,10.81081081,2.4,1
110,46,1670,1,0,0,0.01839,54.37737901,2.4,1
111,47,735,1,0,0,0.00418,239.2344498,2.4,1
112,47,1281,1,0,0,0.00252,396.8253968,2.4,1
113,47,1812,1,0,0,0.0001,10000,2.5,1
114,48,330,1,0,0,0.02113,47.32607667,3.07,1
115,48,332,1,0,0,0.02725,36.69724771,3.47,1
116,49,311,1,0,0,0.00322,310.5590062,2.4,1
117,49,312,1,0,0,0.02448,40.8496732,2.4,1
118,49,315,1,0,0,0.0991,10.09081736,2.4,1
119,49,316,1,0,0,0.0258,38.75968992,5.01,1
120,49,420,1,0,0,0.08353,11.97174668,2.19,1
121,49,421,1,0,0,0.09076,11.01806963,6.5,1
122,49,1808,1,0,0,0.12915,7.742934572,6.5,1
123,51,1384,1,0,0,0.0147,68.02721088,2.4,1
124,51,1390,1,0,0,0.05181,19.30129319,2.3,1
125,51,1523,1,0,0,0.06916,14.45922499,2.4,1
126,52,1414,1,0,0,0.07606,13.14751512,1.8,1
127,52,1419,1,0,0,0.11864,8.428860418,2.4,1
128,53,74,1,0,0,0.00246,406.504065,2.19,1
129,53,1474,1,0,0,0.00119,840.3361345,2.4,1
130,53,1475,1,0,0,0.008,125,2.4,1
131,53,1477,1,0,0,0.02002,49.95004995,2.4,1
132,54,565,1,0,0,0.009271,107.8632294,14.19,1
133,54,1432,1,0,0,0.0059931,166.858554,10.46,1
134,55,1341,1,0,0,0.014175,70.54673721,7.36,1
135,56,1376,1,0,0,0.01112,89.92805755,2.38,1
136,56,1377,1,0,0,0.03777,26.47603918,2.4,1
137,57,437,1,0,0,0.00242,413.2231405,2.4,1
138,57,682,1,0,0,0.0647,15.45595054,2.19,1
139,58,982,1,0,0,0.0084,119.047619,2.4,1
140,58,983,1,0,0,0.00118,847.4576271,2.38,1
