index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
0,123,J C McNeil,0,0,44.492,-73.208,1,138
1,187,9001043100,0,0,41.11,-73.457,1,138
2,239,9001071000,0,0,41.172,-73.218,1,230
3,338,9001245500,0,1,41.275,-73.516,1,138
4,845,9011690300,0,0,41.293,-72.925,1,138
5,1380,25003913100,0,0,42.372,-73.276,1,138
6,1761,25013810602,0,0,42.173,-72.538,1,230
7,3338,50003971200,0,0,42.884,-73.193,1,138
8,3362,50007002200,0,0,44.546,-73.154,2,345
9,3433,50021962700,0,0,43.62,-73.017,1,345
10,3502,Indian Point 2,1,1,41.271,-73.953,3,345
11,3503,Indian Point 3,0,1,41.271,-73.953,3,345
12,3504,Oswego Harbor Power,0,2,43.459,-76.532,4,345
13,3505,Charles Poletti,0,3,40.776,-73.911,2,230
14,3506,James A Fitzpatrick,0,4,43.521,-76.408,3,345
15,3507,Somerset Operating Co LLC,0,5,43.359,-78.605,3,230
16,3508,Nine Mile Point Nuclear Station,0,4,43.521,-76.41,6,345
17,3509,Bowline Point,0,1,41.204,-73.969,8,345
18,3510,Roseton Generating Facility,0,1,41.574,-73.966,4,345
19,3511,R E Ginna Nuclear Power Plant,0,2,43.278,-77.31,6,138
20,3512,Selkirk Cogen,0,6,42.574,-73.859,3,345
21,3513,Northport,0,7,40.924,-73.342,2,345
22,3514,Arthur Kill Generating Station,0,3,40.592,-74.2,2,345
23,3515,E F Barrett,0,7,40.617,-73.648,2,230
24,3516,Athens Generating Plant,0,6,42.273,-73.849,3,345
25,3517,Blenheim Gilboa,0,6,42.442,-74.448,3,345
26,3518,Caithness Long Island Energy Center,0,7,40.814,-72.94,3,138
27,3519,East River,0,3,40.728,-73.974,6,138
28,3520,Astoria Generating Station,0,3,40.788,-73.913,6,345
29,3521,Bethpage Power Plant,0,7,40.747,-73.499,3,345
30,3522,Empire Generating Co  LLC,0,6,42.625,-73.75,2,345
31,3523,Ravenswood,0,3,40.759,-73.946,4,345
32,3524,Astoria Energy,0,3,40.782,-73.896,4,230
33,3525,500MW CC,0,3,40.789,-73.907,3,345
34,3526,Sithe Independence Station,0,4,43.495,-76.451,4,345
35,3527,Cayuga Operating Company,0,4,42.603,-76.634,5,138
36,3528,Astoria Gas Turbines,0,3,40.787,-73.905,5,345
37,3529,RED-Rochester LLC,0,2,43.199,-77.632,3,138
38,3530,Noble Wethersfield Windpark LLC,0,2,42.67,-78.228,1,138
39,3531,Brooklyn Navy Yard Cogeneration,0,3,40.699,-73.976,4,138
40,3532,Glenwood,0,7,40.827,-73.647,6,138
41,3533,Greenidge Generation LLC,0,4,42.679,-76.948,3,138
42,3534,High Sheldon Wind Farm,0,5,42.779,-78.427,1,138
43,3535,Richard M Flynn,0,7,40.816,-73.064,4,138
44,3536,Noble Chateaugay Windpark LLC,0,8,44.892,-74.03,2,138
45,3537,Noble Clinton Windpark LLC,0,8,44.891,-74.006,4,138
46,3538,Noble Bliss Windpark LLC,0,2,42.537,-78.305,2,138
47,3539,Far Rockaway,0,3,40.611,-73.761,3,138
48,3540,Noble Altona Windpark LLC,0,8,44.822,-73.651,2,138
49,3541,Dunkirk Generating Plant,0,5,42.491,-79.347,7,138
50,3542,Saranac Facility,0,8,44.713,-73.456,2,345
51,3543,Indeck Corinth Energy Center,0,6,43.25,-73.813,3,138
52,3544,Cohocton Wind Project,0,4,42.45,-77.52,2,138
53,3545,Wading River,0,7,40.957,-72.877,4,138
54,3546,Covanta Hempstead,0,7,40.739,-73.591,4,345
55,3547,Danskammer Generating Station,0,1,41.571,-73.975,4,345
56,3548,Massena Energy Facility,0,8,44.95,-74.893,2,138
57,3549,Batavia Power Plant,0,5,42.983,-78.159,2,138
58,3550,CH Resources Syracuse,0,4,43.066,-76.214,2,138
59,3551,Sterling Power Plant,0,9,43.08,-75.601,2,138
60,3552,Plant No 2 Freeport,0,7,40.645,-73.568,2,138
61,3555,Wheelabrator Westchester,0,10,41.277,-73.942,2,138
62,3556,Indeck Oswego Energy Center,0,4,43.472,-76.493,3,138
63,3557,Robert Moses Power Dam,0,0,45.004,-74.799,2,345
64,3558,Holtsville,0,7,40.817,-73.066,3,230
65,3559,Indeck Silver Springs Energy Center,0,2,42.654,-78.077,1,138
66,3561,Fortistar North Tonawanda,0,5,43.048,-78.854,3,345
67,3562,Nassau Energy Corp,0,7,40.726,-73.589,3,138
68,3563,Hawkeye Energy Greenport LLC,0,7,41.106,-72.376,1,138
69,3564,Port Jefferson,0,7,40.95,-73.079,3,230
70,3565,Glenwood Landing,0,7,40.828,-73.648,4,138
71,3566,Shoreham,0,7,40.962,-72.865,1,138
72,3567,West Babylon,0,7,40.695,-73.349,1,138
73,3568,Edgewood Energy LLC,0,7,40.786,-73.293,1,138
74,3569,Shoreham Energy LLC,0,7,40.957,-72.866,2,138
75,3570,Pinelawn Power LLC,0,7,40.737,-73.388,1,138
76,3571,Rensselaer Cogen,0,6,42.625,-73.75,3,345
77,3572,Hudson Avenue,0,3,40.705,-73.981,2,138
78,3573,Carr Street Generating Station,0,4,43.061,-76.082,3,138
79,3574,Lockport Energy Associates LP,0,5,43.162,-78.745,3,345
80,3576,S A Carlson,0,5,42.093,-79.248,2,138
81,3577,Spier Falls,0,6,43.234,-73.756,2,138
82,3578,Vernon Boulevard,0,3,40.754,-73.951,2,138
83,3579,Joseph J Seymour Power Project,0,3,40.663,-74,1,138
84,3581,Hell Gate,0,3,40.799,-73.909,4,138
85,3582,Harlem River Yard,0,3,40.799,-73.916,2,138
86,3583,North 1st,0,3,40.717,-73.966,1,138
87,3584,Pouch,0,3,40.618,-74.068,2,138
88,3585,Castleton Energy Center,0,6,42.538,-73.743,2,138
89,3586,Stony Brook Cogen Plant,0,7,40.917,-73.129,3,138
90,3587,Hillburn,0,1,41.127,-74.165,4,138
91,3588,Indeck Olean Energy Center,0,5,42.086,-78.454,2,138
92,3590,Ticonderoga Mill,0,6,43.891,-73.397,1,138
93,3592,Allegany Cogen,0,2,42.503,-78.069,1,138
94,3593,Shoemaker,0,1,41.428,-74.419,3,345
95,3594,Carthage Energy LLC,0,9,43.984,-75.623,1,138
96,3595,Onondaga County Resource Recovery,0,4,43.005,-76.115,3,138
97,3597,Dutch Hill Wind Project,0,4,42.546,-77.497,1,138
98,3598,74th Street,0,3,40.768,-73.951,2,138
99,3599,Sherman Island,0,6,43.28,-73.709,1,138
100,3600,Bennetts Bridge,0,4,43.532,-75.953,2,138
101,3602,Stewarts Bridge,0,6,43.298,-73.885,3,138
102,3603,Munnsville Wind Farm LLC,0,9,42.909,-75.57,2,138
103,3604,Maple Ridge Wind Farm,0,9,43.785,-75.575,2,138
104,3606,Charles P Keller,0,7,40.658,-73.641,3,138
105,3609,Ogdensburg Power,0,9,44.726,-75.442,1,138
106,3610,Stark,0,9,44.455,-74.761,3,138
107,3612,Neversink,0,9,41.819,-74.636,2,230
108,3613,Rainbow Falls Hydro,0,9,44.518,-74.823,1,138
109,3614,Covanta Niagara LP,0,5,43.084,-79.006,2,138
110,3615,Curtis Palmer Hydroelectric,0,6,43.247,-73.828,1,138
111,3616,Five Falls,0,9,44.527,-74.849,3,138
112,3617,Lederle Laboratories,0,1,41.077,-74.018,2,138
113,3618,E J West,0,6,43.319,-73.921,1,138
114,3619,Narrows Gas Turbines Generating,0,3,40.649,-74.021,4,138
115,3620,Hudson Falls Hydroelectric Project,0,6,43.296,-73.596,1,138
116,3622,South Cairo,0,1,42.291,-73.986,1,138
117,3625,South Colton,0,9,44.513,-74.883,1,138
118,3627,Gowanus Gas Turbines Generating,0,3,40.663,-74.005,3,345
119,3628,Lewiston Niagara,0,5,43.143,-79.022,3,138
120,3630,36001000100,0,6,42.669,-73.736,2,138
121,3631,36001000200,0,6,42.664,-73.752,2,138
122,3651,36001002100,0,6,42.65,-73.778,1,138
123,3654,36001002500,0,6,42.641,-73.755,3,138
124,3655,36001002600,0,6,42.631,-73.765,2,138
125,3664,36001013503,0,6,42.784,-73.737,2,138
126,3666,36001013506,0,6,42.747,-73.73,1,138
127,3670,36001013602,0,6,42.691,-73.727,1,138
128,3671,36001013703,0,6,42.745,-73.815,2,138
129,3675,36001013801,0,6,42.746,-73.879,2,138
130,3678,36001013902,0,6,42.723,-73.827,1,138
131,3684,36001014203,0,6,42.606,-73.844,2,138
132,3685,36001014301,0,6,42.562,-73.779,2,138
133,3686,36001014302,0,6,42.565,-73.84,2,138
134,3687,36001014401,0,6,42.495,-73.882,2,138
135,3693,36001014607,0,6,42.728,-73.91,2,138
136,3696,36001014611,0,6,42.691,-73.935,2,138
137,3707,36003950300,0,2,42.466,-78.196,2,138
138,3718,36005000100,0,3,40.792,-73.892,2,138
139,3722,36005001900,0,3,40.805,-73.925,3,345
140,3726,36005002500,0,3,40.807,-73.921,2,138
141,3727,36005002701,0,3,40.806,-73.917,2,138
142,3728,36005002702,0,3,40.807,-73.916,2,138
143,3729,36005002800,0,3,40.822,-73.878,2,138
144,3736,36005004001,0,3,40.828,-73.858,2,138
145,3738,36005004200,0,3,40.824,-73.862,2,138
146,3745,36005005100,0,3,40.813,-73.927,1,138
147,3753,36005006200,0,3,40.833,-73.875,3,138
148,3762,36005007200,0,3,40.831,-73.861,3,138
149,3763,36005007300,0,3,40.815,-73.909,1,138
150,3769,36005007900,0,3,40.816,-73.905,2,138
151,3770,36005008300,0,3,40.814,-73.902,2,138
152,3778,36005009300,0,3,40.814,-73.895,3,138
153,3784,36005011800,0,3,40.813,-73.805,2,138
154,3794,36005013200,0,3,40.817,-73.819,2,138
155,3797,36005013800,0,3,40.822,-73.81,2,138
156,3800,36005014400,0,3,40.821,-73.823,2,138
157,3801,36005014500,0,3,40.832,-73.907,1,138
158,3806,36005015200,0,3,40.826,-73.825,2,138
159,3816,36005016500,0,3,40.843,-73.9,3,138
160,3818,36005016700,0,3,40.84,-73.902,1,138
161,3827,36005018102,0,3,40.832,-73.918,2,138
162,3828,36005018301,0,3,40.829,-73.921,3,138
163,3830,36005018400,0,3,40.837,-73.829,2,138
164,3838,36005020000,0,3,40.843,-73.846,3,138
165,3842,36005020501,0,3,40.847,-73.924,3,138
166,3846,36005021001,0,3,40.841,-73.858,4,138
167,3847,36005021002,0,3,40.838,-73.857,2,138
168,3849,36005021200,0,3,40.836,-73.859,2,138
169,3851,36005021302,0,3,40.843,-73.92,2,138
170,3854,36005021601,0,3,40.838,-73.865,2,138
171,3857,36005021800,0,3,40.837,-73.87,2,138
172,3858,36005021900,0,3,40.84,-73.92,2,138
173,3861,36005022102,0,3,40.838,-73.916,2,138
174,3862,36005022200,0,3,40.836,-73.855,2,138
175,3867,36005022500,0,3,40.84,-73.911,3,138
176,3870,36005022703,0,3,40.844,-73.91,2,138
177,3871,36005022800,0,3,40.853,-73.864,2,138
178,3872,36005022901,0,3,40.846,-73.907,2,138
179,3875,36005023100,0,3,40.846,-73.902,3,138
180,3878,36005023302,0,3,40.848,-73.905,3,138
181,3879,36005023501,0,3,40.852,-73.905,2,138
182,3880,36005023502,0,3,40.851,-73.903,3,138
183,3883,36005023703,0,3,40.86,-73.9,2,138
184,3886,36005023900,0,3,40.859,-73.903,3,138
185,3888,36005024100,0,3,40.853,-73.906,2,138
186,3890,36005024400,0,3,40.846,-73.858,2,138
187,3895,36005024800,0,3,40.855,-73.858,2,138
188,3897,36005025000,0,3,40.852,-73.856,2,138
189,3898,36005025100,0,3,40.857,-73.908,3,138
190,3899,36005025200,0,3,40.847,-73.855,2,138
191,3900,36005025300,0,3,40.861,-73.905,2,138
192,3901,36005025400,0,3,40.848,-73.852,3,138
193,3902,36005025500,0,3,40.861,-73.909,2,138
