index,bus,origbus,origid,bus_type,fuel,unit_type,pmax,pmin,status,cost_startup,cost_shutdown,min_ut,min_dt,start_time,is_fs,ramping_mw_per_min,forced_outage_rate,in_contingency,reserve_qualification,dispatchable,pwlc_slope_0,pwlc_intercept_0,pwlc_slope_1,pwlc_intercept_1,pwlc_slope_2,pwlc_intercept_2,pwlc_y_0,pwlc_x_0,pwlc_y_1,pwlc_x_1,pwlc_y_2,pwlc_x_2,pwlc_y_3,pwlc_x_3
0,10,3502,1,Slack,nuclear,ST (Steam Turbine),1299,0,1,0,0,24,48,24,0,20,0.12,1,0,1,412,0,412,0,412,0,0,0,1783.96,4.33,3567.92,8.66,5351.88,12.99
1,11,3503,1,PV,nuclear,ST (Steam Turbine),1012,0,1,0,0,24,48,24,0,20,0.12,1,0,1,412,0,412,0,412,0,0,0,1389.813333,3.373333333,2779.626667,6.746666667,4169.44,10.12
2,12,3504,1,PV,rfo,ST (Steam Turbine),901.8,45,1,0,0,0,0,4,0,901.8,0,1,1,1,7095.64,7776.407,7609.72,6076.85852,8123.8,2909.09756,10969.445,0.45,31234.59284,3.306,52967.95316,6.162,76169.52596,9.018
3,12,3504,2,PV,rfo,ST (Steam Turbine),901.8,45,1,0,0,0,0,4,0,901.8,0,1,1,1,7095.64,7776.407,7609.72,6076.85852,8123.8,2909.09756,10969.445,0.45,31234.59284,3.306,52967.95316,6.162,76169.52596,9.018
4,13,3505,1,PQ (Gens at Var Limit),rfo,ST (Steam Turbine),883,1,1,0,0,0,0,4,0,883,0,1,1,1,7024,7758.245,7553.2,6197.105,8082.4,3080.117,7828.485,0.01,28479.045,2.95,50685.453,5.89,74447.709,8.83
5,14,3506,1,PV (Local/Remote Reg Master),nuclear,ST (Steam Turbine),882,0,1,0,0,24,48,24,0,20,0.12,1,0,1,412,0,412,0,412,0,0,0,1211.28,2.94,2422.56,5.88,3633.84,8.82
6,15,3507,1,PV,coal,ST (Steam Turbine),655.1,150,1,0,0,24,48,12,0,4,0.08,1,1,1,1403.673333,922.06,1471.02,707.6506622,1538.366667,379.8519867,3027.57,1.5,5390.888002,3.183666667,7867.595342,4.867333333,10457.69202,6.551
7,16,3508,1,PQ (Remote Reg Slave),nuclear,ST (Steam Turbine),1259.3,75,1,0,0,24,48,24,0,20,0.12,1,0,1,412,0,412,0,412,0,309,0.75,1935.438667,4.697666667,3561.877333,8.645333333,5188.316,12.593
8,16,3508,2,PQ (Remote Reg Slave),nuclear,ST (Steam Turbine),641.8,105,1,0,0,24,48,24,0,20,0.12,1,0,1,412,0,412,0,412,0,432.6,1.05,1169.805333,2.839333333,1907.010667,4.628666667,2644.216,6.418
9,17,3509,1,PQ (Gens at Var Limit),ng,ST (Steam Turbine),621,100,1,0,0,8,4.5,4,0,4,0.03,1,1,1,2226.8,1433.8,2331,1148.639333,2435.2,682.518,3660.6,1,7527.809333,2.736666667,11575.97933,4.473333333,15805.11,6.21
10,17,3509,2,PQ (Gens at Var Limit),ng,ST (Steam Turbine),621,80,1,0,0,8,4.5,4,0,4,0.03,1,1,1,2216.8,1453.42,2325,1171.739333,2433.2,694.938,3226.86,0.8,7224.489333,2.603333333,11417.23933,4.406666667,15805.11,6.21
11,18,3510,1,PV,ng,ST (Steam Turbine),621,140,1,0,0,8,4.5,4,0,4,0.03,1,1,1,2248.3,1391.2,2344.5,1102.279333,2440.7,659.118,4538.82,1.4,8143.594333,3.003333333,11902.60933,4.606666667,15815.865,6.21
12,18,3510,2,PV,ng,ST (Steam Turbine),621,140,1,0,0,8,4.5,4,0,4,0.03,1,1,1,2248.3,1391.2,2344.5,1102.279333,2440.7,659.118,4538.82,1.4,8143.594333,3.003333333,11902.60933,4.606666667,15815.865,6.21
